"#","Classe","Medicamento","Apresentacao","Posologia atual","Validado (OK/Ajustar)","Ajuste sugerido","Fonte sugerida (CONFIRMAR)","Revisor","Data"
"1","Analgésico/Antitérmico","Dipirona 500 mg","Comprimido","Tomar 1 comprimido por via oral de 6/6 horas, se dor ou febre.","","","Bula ANVISA + FTN/RENAME","",""
"2","Analgésico/Antitérmico","Dipirona 1 g","Comprimido","Tomar 1 comprimido por via oral de 6/6 horas, se dor ou febre intensa.","","","Bula ANVISA + FTN/RENAME","",""
"3","Analgésico/Antitérmico","Dipirona 500 mg/mL (gotas)","Solução oral","Tomar 20 a 40 gotas por via oral de 6/6 horas, se dor ou febre.","","","Bula ANVISA + FTN/RENAME","",""
"4","Analgésico/Antitérmico","Paracetamol 500 mg","Comprimido","Tomar 1 a 2 comprimidos por via oral de 6/6 horas, se dor ou febre (máx. 4 g/dia).","","","Bula ANVISA + FTN/RENAME","",""
"5","Analgésico/Antitérmico","Paracetamol 750 mg","Comprimido","Tomar 1 comprimido por via oral de 6/6 horas, se dor ou febre (máx. 4 g/dia).","","","Bula ANVISA + FTN/RENAME","",""
"6","Analgésico/Antitérmico","Paracetamol 200 mg/mL (gotas)","Solução oral","Tomar 1 gota/kg por via oral de 6/6 horas, se dor ou febre.","","","Bula ANVISA + FTN/RENAME","",""
"7","Analgésico/Antiespasmódico","Escopolamina + Dipirona","Comprimido","Tomar 1 comprimido por via oral de 6/6 horas, se cólica ou dor.","","","Bula ANVISA + FTN/RENAME","",""
"8","Anti-inflamatório","Ibuprofeno 400 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, após as refeições, se dor.","","","Bula ANVISA + FTN/RENAME","",""
"9","Anti-inflamatório","Ibuprofeno 600 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, após as refeições, por 5 dias.","","","Bula ANVISA + FTN/RENAME","",""
"10","Anti-inflamatório","Nimesulida 100 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, após as refeições, por 5 dias.","","","Bula ANVISA + FTN/RENAME","",""
"11","Anti-inflamatório","Nimesulida 50 mg/mL (gotas)","Solução oral","Tomar 20 gotas por via oral de 12/12 horas, após as refeições.","","","Bula ANVISA + FTN/RENAME","",""
"12","Anti-inflamatório","Diclofenaco potássico 50 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, após as refeições, por 7 dias.","","","Bula ANVISA + FTN/RENAME","",""
"13","Anti-inflamatório","Naproxeno 500 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, após as refeições, por 7 dias.","","","Bula ANVISA + FTN/RENAME","",""
"14","Anti-inflamatório","Cetoprofeno 100 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, após as refeições.","","","Bula ANVISA + FTN/RENAME","",""
"15","Anti-inflamatório","Meloxicam 15 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia, após o almoço.","","","Bula ANVISA + FTN/RENAME","",""
"16","Anti-inflamatório","Piroxicam 20 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia, após o almoço.","","","Bula ANVISA + FTN/RENAME","",""
"17","Anti-inflamatório","Celecoxibe 200 mg","Cápsula","Tomar 1 cápsula por via oral 1 a 2 vezes ao dia.","","","Bula ANVISA + FTN/RENAME","",""
"18","Anti-inflamatório","Etoricoxibe 90 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia.","","","Bula ANVISA + FTN/RENAME","",""
"19","Anti-inflamatório","Aceclofenaco 100 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, após as refeições.","","","Bula ANVISA + FTN/RENAME","",""
"20","Anti-inflamatório tópico","Cetoprofeno 2,5% (gel)","Gel tópico","Aplicar fina camada no local de 8/8 horas, massageando levemente.","","","Bula ANVISA","",""
"21","Anti-inflamatório tópico","Diclofenaco dietilamônio (gel)","Gel tópico","Aplicar no local de 8/8 a 12/12 horas, massageando.","","","Bula ANVISA","",""
"22","Relaxante muscular","Ciclobenzaprina 10 mg","Comprimido","Tomar 1 comprimido por via oral à noite (pode causar sonolência), por até 14 dias.","","","Bula ANVISA","",""
"23","Relaxante muscular","Ciclobenzaprina 5 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas (pode causar sonolência).","","","Bula ANVISA","",""
"24","Corticoide","Prednisona 20 mg","Comprimido","Tomar 1 comprimido por via oral pela manhã, por 5 dias.","","","Bula ANVISA + diretriz da indicação","",""
"25","Corticoide","Prednisona 5 mg","Comprimido","Tomar conforme orientação, por via oral pela manhã.","","","Bula ANVISA + diretriz da indicação","",""
"26","Corticoide","Prednisolona 3 mg/mL","Solução oral","Tomar conforme orientação (1 a 2 mg/kg/dia) pela manhã.","","","Bula ANVISA + diretriz da indicação","",""
"27","Corticoide","Dexametasona 4 mg","Comprimido","Tomar 1 comprimido por via oral pela manhã, por 3 dias.","","","Bula ANVISA + diretriz da indicação","",""
"28","Corticoide","Deflazacorte 6 mg","Comprimido","Tomar conforme orientação por via oral pela manhã.","","","Bula ANVISA + diretriz da indicação","",""
"29","Corticoide tópico","Betametasona 0,1% (creme)","Creme tópico","Aplicar fina camada na lesão de 12/12 horas.","","","Bula ANVISA","",""
"30","Antialérgico","Loratadina 10 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia, por 7 dias.","","","Bula ANVISA + diretriz (ASBAI)","",""
"31","Antialérgico","Desloratadina 5 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia.","","","Bula ANVISA + diretriz (ASBAI)","",""
"32","Antialérgico","Cetirizina 10 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia, à noite.","","","Bula ANVISA + diretriz (ASBAI)","",""
"33","Antialérgico","Fexofenadina 180 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia.","","","Bula ANVISA + diretriz (ASBAI)","",""
"34","Antialérgico","Ebastina 10 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia.","","","Bula ANVISA + diretriz (ASBAI)","",""
"35","Antialérgico","Bilastina 20 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia, em jejum.","","","Bula ANVISA + diretriz (ASBAI)","",""
"36","Antialérgico","Dexclorfeniramina 2 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas (pode causar sonolência).","","","Bula ANVISA + diretriz (ASBAI)","",""
"37","Antialérgico","Hidroxizina 25 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, se prurido (causa sonolência).","","","Bula ANVISA + diretriz (ASBAI)","",""
"38","Antibiótico","Amoxicilina 500 mg","Cápsula","Tomar 1 cápsula por via oral de 8/8 horas, por 7 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"39","Antibiótico","Amoxicilina + Clavulanato 875/125 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, por 7 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"40","Antibiótico","Azitromicina 500 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia, por 5 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"41","Antibiótico","Claritromicina 500 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, por 7 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"42","Antibiótico","Cefalexina 500 mg","Cápsula","Tomar 1 cápsula por via oral de 6/6 horas, por 7 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"43","Antibiótico","Cefuroxima 500 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, por 7 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"44","Antibiótico","Ciprofloxacino 500 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, por 7 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"45","Antibiótico","Levofloxacino 500 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia, por 7 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"46","Antibiótico","Norfloxacino 400 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, por 5 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"47","Antibiótico","Sulfametoxazol + Trimetoprima 800/160 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, por 7 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"48","Antibiótico","Nitrofurantoína 100 mg","Cápsula","Tomar 1 cápsula por via oral de 6/6 horas, por 5 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"49","Antibiótico","Fosfomicina trometamol 3 g","Sachê (pó)","Dissolver 1 sachê em água e tomar em dose única, à noite, com a bexiga vazia.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"50","Antibiótico","Metronidazol 400 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, por 7 dias. Não ingerir álcool.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"51","Antibiótico","Secnidazol 1 g","Comprimido","Tomar 2 comprimidos por via oral em dose única. Não ingerir álcool.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"52","Antibiótico","Doxiciclina 100 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, por 7 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"53","Antibiótico","Clindamicina 300 mg","Cápsula","Tomar 1 cápsula por via oral de 6/6 horas, por 7 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"54","Antibiótico","Eritromicina 500 mg","Comprimido","Tomar 1 comprimido por via oral de 6/6 horas, por 7 dias.","","","Bula ANVISA + diretriz da infecção (SBI/consenso)","",""
"55","Antifúngico","Fluconazol 150 mg","Cápsula","Tomar 1 cápsula por via oral em dose única (candidíase vaginal).","","","Bula ANVISA + diretriz (SBI/consenso)","",""
"56","Antifúngico","Itraconazol 100 mg","Cápsula","Tomar 1 cápsula por via oral 1 vez ao dia, após refeição, conforme orientação.","","","Bula ANVISA + diretriz (SBI/consenso)","",""
"57","Antifúngico","Terbinafina 250 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia (onicomicose: por semanas).","","","Bula ANVISA + diretriz (SBI/consenso)","",""
"58","Antifúngico","Nistatina 100.000 UI/mL","Suspensão oral","Bochechar e engolir 5 mL de 6/6 horas, após as refeições, por 7 a 14 dias.","","","Bula ANVISA + diretriz (SBI/consenso)","",""
"59","Antifúngico tópico","Cetoconazol 2% (xampu)","Xampu","Aplicar no couro cabeludo, deixar agir 5 min e enxaguar, 2 a 3 vezes por semana.","","","Bula ANVISA","",""
"60","Antifúngico tópico","Miconazol 2% (creme)","Creme tópico","Aplicar na lesão de 12/12 horas, por 2 a 4 semanas.","","","Bula ANVISA","",""
"61","Antiviral","Aciclovir 200 mg","Comprimido","Tomar 1 comprimido por via oral 5 vezes ao dia, por 5 dias (herpes simples).","","","Bula ANVISA + diretriz (SBI/MS)","",""
"62","Antiviral","Aciclovir 400 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, por 5 a 7 dias.","","","Bula ANVISA + diretriz (SBI/MS)","",""
"63","Antiviral","Valaciclovir 500 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, por 3 a 5 dias.","","","Bula ANVISA + diretriz (SBI/MS)","",""
"64","Antiviral","Oseltamivir 75 mg","Cápsula","Tomar 1 cápsula por via oral de 12/12 horas, por 5 dias.","","","Bula ANVISA + diretriz (SBI/MS)","",""
"65","Antiparasitário","Albendazol 400 mg","Comprimido","Tomar 1 comprimido por via oral 1 vez ao dia, por 1 a 3 dias.","","","Bula ANVISA + FTN/RENAME (MS)","",""
"66","Antiparasitário","Mebendazol 100 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, por 3 dias.","","","Bula ANVISA + FTN/RENAME (MS)","",""
"67","Antiparasitário","Ivermectina 6 mg","Comprimido","Tomar conforme o peso (200 mcg/kg) em dose única, podendo repetir em 7 dias.","","","Bula ANVISA + FTN/RENAME (MS)","",""
"68","Antiparasitário","Nitazoxanida 500 mg","Comprimido","Tomar 1 comprimido por via oral de 12/12 horas, por 3 dias, com alimento.","","","Bula ANVISA + FTN/RENAME (MS)","",""
"69","Gastrointestinal","Omeprazol 20 mg","Cápsula","Tomar 1 cápsula por via oral em jejum, 30 min antes do café, por 28 dias.","","","Bula ANVISA + FTN/RENAME","",""
"70","Gastrointestinal","Pantoprazol 40 mg","Comprimido","Tomar 1 comprimido por via oral em jejum, 1 vez ao dia.","","","Bula ANVISA + FTN/RENAME","",""
"71","Gastrointestinal","Esomeprazol 40 mg","Comprimido","Tomar 1 comprimido por via oral em jejum, 1 vez ao dia.","","","Bula ANVISA + FTN/RENAME","",""
"72","Gastrointestinal","Lansoprazol 30 mg","Cápsula","Tomar 1 cápsula por via oral em jejum, 1 vez ao dia.","","","Bula ANVISA + FTN/RENAME","",""
"73","Gastrointestinal","Domperidona 10 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, 20 min antes das refeições.","","","Bula ANVISA + FTN/RENAME","",""
"74","Gastrointestinal","Bromoprida 10 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, 20 min antes das refeições.","","","Bula ANVISA + FTN/RENAME","",""
"75","Gastrointestinal","Metoclopramida 10 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, se náusea.","","","Bula ANVISA + FTN/RENAME","",""
"76","Gastrointestinal","Ondansetrona 8 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, se náusea ou vômito.","","","Bula ANVISA + FTN/RENAME","",""
"77","Gastrointestinal","Dimenidrinato + Piridoxina","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, se náusea (pode dar sonolência).","","","Bula ANVISA + FTN/RENAME","",""
"78","Gastrointestinal","Hioscina (escopolamina) 10 mg","Comprimido","Tomar 1 comprimido por via oral de 8/8 horas, se cólica.","","","Bula ANVISA + FTN/RENAME","",""
"79","Gastrointestinal","Simeticona 75 mg/mL (gotas)","Solução oral","Tomar 16 gotas por via oral após as refeições e ao deitar.","","","Bula ANVISA + FTN/RENAME","",""
"80","Gastrointestinal","Loperamida 2 mg","Comprimido","Tomar 2 comprimidos no início e 1 após cada evacuação líquida (máx. 8/dia).","","","Bula ANVISA + FTN/RENAME","",""
"81","Gastrointestinal","Racecadotrila 100 mg","Cápsula","Tomar 1 cápsula por via oral de 8/8 horas, antes das refeições, até melhora.","","","Bula ANVISA + FTN/RENAME","",""
"82","Gastrointestinal","Sucralfato 1 g","Comprimido","Tomar 1 comprimido por via oral de 6/6 horas, 1 hora antes das refeições.","","","Bula ANVISA + FTN/RENAME","",""
"83","Gastrointestinal","Lactulose 667 mg/mL (xarope)","Xarope","Tomar 15 a 30 mL por via oral 1 vez ao dia, ajustando para 2 a 3 evacuações pastosas.","","","Bula ANVISA + FTN/RENAME","",""
"84","Gastrointestinal","Bisacodil 5 mg","Drágea","Tomar 1 a 2 drágeas por via oral à noite, se constipação.","","","Bula ANVISA + FTN/RENAME","",""
"85","Respiratório","Salbutamol 100 mcg (spray)","Aerossol","Inalar 2 jatos de 4/4 a 6/6 horas, se falta de ar ou chiado.","","","Diretriz GINA/SBPT + bula","",""
"86","Respiratório","Budesonida + Formoterol 6/200 mcg","Inalador","Inalar 1 dose de 12/12 horas (uso contínuo). Bochechar após o uso.","","","Diretriz GINA/SBPT + bula","",""
"87","Respiratório","Beclometasona 250 mcg (spray)","Aerossol","Inalar 1 a 2 jatos de 12/12 horas. Bochechar após o uso.","","","Diretriz GINA/SBPT + bula","",""
"88","Respiratório","Budesonida 50 mcg (spray nasal)","Spray nasal","Aplicar 1 jato em cada narina 1 a 2 vezes ao dia.","","","Diretriz GINA/SBPT + bula","",""
"89","Respiratório","Montelucaste 10 mg","Comprimido","Tomar 1 comprimido por via oral à noite (uso contínuo).","","","Diretriz GINA/SBPT + bula","",""
"90","Respiratório","Acetilcisteína 600 mg","Comprimido efervescente","Dissolver 1 comprimido em água e tomar 1 vez ao dia.","","","Diretriz GINA/SBPT + bula","",""
"91","Respiratório","Ambroxol 30 mg/5 mL (xarope)","Xarope","Tomar 10 mL por via oral de 8/8 horas.","","","Diretriz GINA/SBPT + bula","",""
