"#","Secao","Ficha (doenca)","Fonte (USP cap.)","Doses/limiares-chave a validar","Validado (OK/Ajustar)","Ajuste sugerido","Revisor","Data"
"1","Infecciosas","Sepse e choque séptico","cap. 9","Disfunção orgânica ameaçadora à vida por resposta inflamatória desregulada do hospedeiro a uma infecção. Reconhecida quando, na presença de infecção suspeita/confirmada, há elevação aguda ≥ 2 pontos no SOFA. Choque séptico = necessidade de vasopressor para PAM ≥ 65 mmHg + lactato > 2 mmol/L (18 mg/dL) após reposição volêmica adequada. | Foco mais comum: pulmão (~63%); seguem-se abdome, corrente sanguínea, trato urinário, pele, cateteres e SNC. | Lactato (repetir 2–4 h se > 2 mmol/L) | ABCDE; O₂ com alvo SpO₂ ≥ 94% | Cristaloide balanceado 30 mL/kg iniciado em ≤ 1 h e concluído nas primeiras 3 h, em bolus (ex.: 500 mL) | Noradrenalina é a 1ª escolha; alvo PAM ≥ 65 mmHg (80–85 em hipertenso crônico) | Vasopressina até 0,04 U/min quando NA em 0,25–0,5 µg/kg/min | Corticoide: hidrocortisona 200 mg/dia (ex.: 50 mg IV 6/6 h) no choque séptico com necessidade contínua de vasopressor apesar de volume adequado | Transfusão se Hb ≤ 7 g/dL (exceto isquemia ativa/hemorragia) | Controle glicêmico 140–180 mg/dL; profilaxia de TEV; ventilação protetora | Os 30 mL/kg são alvo inicial condicional (não recomendação forte) — individualizar por fluidorresponsividade. O limiar 0,25–0,5 µg/kg/min para iniciar vasopressina é prática da fonte, não fixado pela diretriz.","","","",""
"2","Causas externas","Intoxicação exógena — abordagem inicial","cap. 102","Hipotensão: cristaloide 10–20 mL/kg evitando sobrecarga; se refratária, vasoativo precoce ou antídoto específico | QRS largo (> 120 ms) ou hipotensão por bloqueador de canal de sódio (tricíclicos, cocaína): bicarbonato de sódio 1–2 mEq/kg em bolus, repetir conforme QRS | Anestésico local / cardiotóxico lipofílico refratário: emulsão lipídica 20% 1,5 mL/kg | Na PCR: naloxona 2 mg (opioide), hidroxicobalamina 10 g (cianeto); considerar RCP prolongada e antídoto intra-PCR conforme suspeita","","","",""
"3","Alergia/Imunológicas","Anafilaxia","cap. 12","Adrenalina IM imediata no vasto lateral (mais importante): 0,5 mg adulto/>12 anos; 0,15 mg dos 6 m–6 anos; 0,1–0,15 mg < 6 meses | Hipotensão: cristaloide 1–2 L (adulto) ou 10–20 mL/kg (criança) | Em uso de betabloqueador com má resposta: glucagon 1–5 mg EV | Sem resposta à IM: adrenalina EV (bolus 0,1 mg) e infusão contínua titulada com monitorização | Observar ≥ 4 h (6–8 h se grave/betabloqueado/reação tardia prévia); risco de reação bifásica (~5%, até 72 h)","","","",""
"4","Cardiovasculares","Síndrome coronariana aguda SEM supra (AI/IAMSSST)","cap. 30","MOVE: monitor, O₂ se SpO₂ < 90%, acesso venoso, ECG ≤ 10 min | AAS 300 mg VO (depois 100 mg/dia); contraindicado só em alergia ou suspeita de dissecção | Anticoagulação (risco intermediário/alto): enoxaparina 1 mg/kg SC 12/12 h, HNF ou fondaparinux | Adjuvantes: estatina alta potência, iECA se disfunção/IC/HAS/DM, espironolactona se FEVE ≤ 40% | Enquadra a SCA como ""com/sem oclusão coronária aguda (OCA/NOCA)"" no lugar de STEMI/NSTEMI: ~25–30% das oclusões agudas (OMI) NÃO têm supra e têm pior prognóstico — valorizar ECG seriado e equivalentes. Estratifica por GRACE/TIMI (alto risco GRACE ≥ 130) e HEART/EDACS para alta segura.","","","",""
"5","Cardiovasculares","IAM com supra de ST (IAMCSST)","cap. 31","Desestabilização de placa (ruptura ~70%, erosão ~25%, nódulo calcificado ~5%) com trombose oclusiva. | Critérios de reperfusão 60–90 min: queda ≥ 50% do supra, estabilidade e alívio da dor; falha → ICP de resgate | AAS 300 mg VO mastigado (depois 100 mg/dia) | ICP: preferir prasugrel (60 mg → 10 mg/dia; contraindicado em AVC/AIT prévio, ≥ 75 anos ou < 60 kg — usar ticagrelor); alternativas ticagrelor ou clopidogrel 600 mg | Fibrinólise: clopidogrel — ataque 300 mg se < 75 anos; ≥ 75 anos só manutenção 75 mg | Enoxaparina pós-fibrinólise: 30 mg EV bolus + 1 mg/kg SC 12/12 h (sem bolus e 0,75 mg/kg se > 75 anos) | O₂ só se SaO₂ < 90%; nitrato para dor/PA/IC (contraindicado em hipotensão, IAM de VD, inibidor de PDE-5) | iECA (maior benefício se FEVE < 40%/grande infarto) e estatina alta potência (atorvastatina 40 mg) | Choque cardiogênico (6–7%): ICP, suporte mecânico; atenção a complicações mecânicas (3–7 dias)","","","",""
"6","Neurológicas","AVC isquêmico agudo","cap. 54","20–25% das suspeitas não se confirmam (stroke mimics) | ABC; IOT se Glasgow ≤ 8 ou risco de aspiração; SatO₂ > 94% (não suplementar se ≥ 95% em ar ambiente) | PA: candidato a reperfusão < 185×110 antes e ≤ 180×105 por 24 h; sem reperfusão só tratar se ≥ 220×120 (reduzir ~15%) | AAS 160–300 mg em até 48 h (após 24 h da trombólise e TC de controle) | Dose: alteplase 0,9 mg/kg (máx 90 mg) — 10% em bolus, restante em 60 min | Tenecteplase 0,25 mg/kg (máx 25 mg) em bolus único é alternativa/preferência (sobretudo se elegível a trombectomia/oclusão de grande vaso) — ver Atualizações | Tenecteplase 0,25 mg/kg (máx 25 mg, bolus único) é Classe 1 — igual/preferível à alteplase em < 4,5 h e preferível na oclusão de grande vaso (FDA mar/2025; no Brasil, off-label/em aprovação para AVC).","","","",""
"7","Respiratórias/Vasculares","Tromboembolismo pulmonar (TEP)","cap. 46","Obstrução da artéria pulmonar/ramos por êmbolos (espectro do TEV com a TVP). A gravidade depende da hemodinâmica (instáveis: letalidade até 45%). Abordagem lógica: probabilidade pré-teste (Wells/Genebra) → teste diagnóstico → estratificação de risco (PESI, VD, biomarcadores) → tratamento. | PERC em baixo risco: 8 itens negativos encerram a investigação (probabilidade < 2%) | Angio-TC de tórax: exame de escolha em alta probabilidade ou D-dímero positivo (S/E > 90%) | Esteio do tratamento; em probabilidade > 20%, anticoagular empiricamente (alta: 1ª dose antes da confirmação) | Enoxaparina (HBPM) 1,5 mg/kg SC 1x/dia ou 1 mg/kg 12/12 h (ClCr < 30: 1 mg/kg 1x/dia); HNF se instabilidade, DRC grave, extremos de peso/idade | Fondaparinux SC 1x/dia; DOAC (rivaroxabana 15 mg 12/12 h × 21 d → 20 mg/dia; apixabana 10 mg 12/12 h × 7 d → 5 mg 12/12 h) | Agentes: rtPA 100 mg EV em 2 h (ou 0,6 mg/kg em 15 min); tenecteplase por peso | Cristaloide com cautela (bolus ≤ 500 mL em alíquotas) — excesso piora o VD | O₂ se SaO₂ < 90%; cautela com IOT (indutor cardioestável, evitar apneia/acidose)","","","",""
"8","Metabólicas/Endócrinas","Cetoacidose diabética e estado hiperosmolar (CAD/EHH)","cap. 91","NaCl 0,9% 1.000–1.500 mL na 1ª hora (no EHH, vários litros); depois 250–500 mL/h | NaCl 0,45% se Na corrigido normal/alto; manter 0,9% se < 135 | Glicemia 250–300 mg/dL: associar glicose 5–10% à salina | Iniciar com a hidratação, EXCETO se K < 3,3 mEq/L (repor K antes) | Bomba EV: bolus 0,1 U/kg + 0,1 U/kg/h (ou 0,14 U/kg/h sem bolus) | Alvo de queda 50–70 mg/dL/h; manter basal de quem já usava | K < 3,3: repor e adiar insulina; K 3,3–5,0: 25 mEq por litro; K > 5: só repor quando < 5 | Diagnóstico de CAD: glicemia ≥ 200 (ou DM conhecido) + β-hidroxibutirato ≥ 3,0 mmol/L (ou cetonúria ≥ 2+) + pH < 7,3 OU HCO₃ < 18. O ânion-gap deixou de ser critério diagnóstico (mantido como apoio). | Gravidade e resolução passam a se basear no β-OHB (grave se > 6 mmol/L; resolução com β-OHB < 0,6). Na CAD euglicêmica por SGLT2 a glicemia pode ser < 200–250 — dosar cetona mesmo sem hiperglicemia franca.","","","",""
"9","Choque/Emergências","Choque","cap. 8","3 janelas: pele (fria/livedo, TEC > 2–3 s), rim (débito < 0,5 mL/kg/h) e SNC (estado mental) | Lactato (> 2 mmol/L típico; > 4 = gravidade) e clearance seriado | Pré-carga: cristaloide balanceado em alíquotas (250–500 mL) reavaliando fluidotolerância (elevação passiva das pernas) | Alvo PAM 65 mmHg ajustado pela perfusão (janelas + lactato); transfundir se Hb < 7 (no hemorrágico, guiar pela hipotensão) | Noradrenalina permanece 1ª linha; cristaloides balanceados sugeridos sobre SF 0,9%; ressuscitação guiada por perfusão (tempo de enchimento capilar + lactato) em vez de normalizar o lactato a qualquer custo. Vasopressor por acesso periférico calibroso é seguro.","","","",""
"10","Cardiovasculares","Emergência e urgência hipertensiva","cap. 36","Fundoscopia (retinopatia Keith-Wagener) — pode estar ausente em > 30% | Regra geral (sem cenário específico): reduzir a PAM ~10–20% na 1ª h (não exceder 25% no 1º dia), depois < 160/110 nas 23 h seguintes; normalizar em 24–48 h","","","",""
"11","Respiratórias","Asma — exacerbação","cap. 42","Resposta precoce (1–2 h) e tardia (3–12 h, ~50%) por mastócitos, linfócitos T e eosinófilos; inflamação crônica leva a remodelamento. | Infecções virais precipitam ~80% das crises; também aeroalérgenos, AAS, betabloqueadores, DRGE, exercício. | PFE/VEF1 ≤ 50% do previsto = grave; reavaliar de hora em hora | Gasometria se desconforto importante ou VEF1/PFE < 50%; PaCO₂ > 45 sugere UTI | β2 de curta (salbutamol): 4–8 puffs com espaçador ou nebulização 2,5–5 mg a cada 20 min na 1ª h | Ipratrópio associado ao β2 na crise grave (500 µg/nebulização na 1ª h) | Corticoide sistêmico precoce (≤ 1 h) em quase todos: prednisona 40–60 mg VO/dia, 5–7 dias (EV se vômito/crise muito grave) | Alvo de O₂ no DE é SpO₂ 93–95% em adultos/adolescentes (evitar hiperóxia) — mais específico que o “> 92%” do capítulo. O reliever anti-inflamatório (ICS-formoterol) é preferido ao SABA isolado na estratégia de manutenção.","","","",""
"12","Respiratórias","DPOC — exacerbação","cap. 43","Exacerbação = piora dos sintomas cardinais (dispneia, volume e/ou purulência do escarro) nos últimos 14 dias, em geral por infecção (~70%), poluentes, broncoespasmo ou TEP. Base: broncodilatadores de curta (SABA + SAMA), corticoide sistêmico, O₂ controlado (alvo SpO₂ 88–92%), antibiótico por critérios de Anthonisen e VNI precoce na insuficiência respiratória hipercápnica. | Exacerbação ~70% infecciosa (rinovírus; pneumococo, H. influenzae, M. catarrhalis; Pseudomonas em doença estrutural); ~30% por poluentes/broncoespasmo/TEP (~6%). | RX de tórax em todos no DE (altera conduta em ~20%: consolidação, pneumotórax, congestão) | Corticoide sistêmico em todos: prednisona 40 mg VO/dia por 5 dias (EV se grave) | O₂ controlado: alvo SpO₂ 88–92% (preferir máscara de Venturi); menor fluxo possível, mesmo com leve hipercapnia | Risco de Pseudomonas (VEF1 < 30%, corticoide crônico, doença estrutural): quinolona respiratória/combinação. Duração 5–7 dias | O capítulo já está alinhado à GOLD 2025: SpO₂ 88–92%, corticoide ≤ 5 dias, antibiótico por critérios de Anthonisen e VNI como 1ª modalidade na IRpA hipercápnica. Sem divergências relevantes no manejo de emergência.","","","",""
"13","Cardiovasculares","Fibrilação atrial","cap. 32","Cardioversão elétrica sincronizada imediata se instabilidade secundária à FA (120–200 J) | Alvo FC < 110 bpm; 1ª linha betabloqueador ou BCC não diidro (diltiazem/verapamil) | BCC contraindicado se FE < 40%; disfunção de VE: amiodarona EV (ou digoxina)","","","",""
"14","Cardiovasculares","Taquiarritmias (TSV e TV)","cap. 33","FC > 100 bpm. Abordagem por QRS (estreito ≤ 120 ms ≈ supraventricular; largo > 120 ms = tratar como TV) e regularidade. Conduta guiada pela estabilidade: instabilidade (5 ""D"") → cardioversão/desfibrilação imediata. TSV estável: manobra vagal → adenosina. | QRS largo: TV (≥ 90% se cardiopatia/IAM prévio), TSV com aberrância, TAV antidrômica | Cardioversão elétrica sincronizada (TSV/flutter 50–100 J; TV monomórfica 100 J, escalonar) | TSV: manobra vagal — Valsalva modificada (REVERT) → adenosina 6 mg EV em bolus rápido (repetir 12 mg) | FA/flutter no WPW: cardioversão 200 J; contraindicados adenosina/BB/BCC/digital/amiodarona | TV estável: preferir cardioversão; ou amiodarona 150 mg em 10 min + manutenção (evitar se QT longo); alternativa lidocaína | Tóxico-metabólico: hipercalemia → cálcio EV; tricíclicos → bicarbonato 1–2 mEq/kg (amiodarona contraindicada) | Valsalva modificada (esforço a 45° + elevação passiva das pernas) eleva a reversão da TSV de 17% para 43%. Procainamida supera amiodarona na TV estável, mas é indisponível no Brasil (amiodarona permanece de escolha). Adenosina em seringa única diluída tem maior conversão na 1ª dose.","","","",""
"15","Cardiovasculares","Bradicardia e bloqueios AV","cap. 34","FC baixa (< 50–60 bpm) com repercussão hemodinâmica = sintomática. ECG de 12 derivações é o exame inicial. Foco: identificar instabilidade e causas reversíveis. BAV infra-hissianos (Mobitz II, BAVT, avançado) são mais graves, respondem mal à atropina e exigem marca-passo. | Atropina 0,5–1 mg IV, repetir a cada 3–5 min até 3 mg (1ª droga; não usar em transplantado; BAV infranodal não responde) | Adrenalina 2–10 µg/min (ou 0,05–0,5 µg/kg/min); dopamina 5–20 µg/kg/min | BCC: gluconato/cloreto de cálcio EV; betabloqueador: glucagon 3–10 mg EV; ambos: insulina alta dose euglicêmica | Base dos fluxogramas: atropina → dopamina/adrenalina → marca-passo. O ABRAMEDE adota FC < 50 bpm como limiar, dobutamina como droga de eleição na bradicardia instável com disfunção ventricular, e pás do marca-passo em posição anteroposterior (melhor captura).","","","",""
